    ,Ngày đăng bài,Tên,Giá,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
1546,09/09/2025,Ford Explorer 2.3L Ecoboost 2016,695 triệu,2016,Máy xăng,N/A,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
1547,09/09/2025,Mazda CX-5 2.0 Premium 2024,805 triệu,2024,Máy xăng,SUV,Xe cũ,8.900 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1548,09/09/2025,Kia Sorento 2022,945 triệu,2022,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1549,14/09/2025,Toyota Vios 1.3J MT 2015,195 triệu,2015,Máy xăng,Sedan,Xe cũ,95.000 km,Số sàn,Trong nước,Bảo Lộc - Lâm Đồng
1550,11/09/2025,Kia Morning AT 2018,290 triệu,2018,Máy xăng,Hatchback,Xe cũ,27.000 km,Số tự động,Trong nước,Gò Vấp - Tp.HCM
1551,14/09/2025,Suzuki Swift 1.4 AT 2017,330 triệu,2017,Máy xăng,Hatchback,Xe cũ,51.000 km,Số tự động,Trong nước,Sơn Trà - Đà Nẵng
1552,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1553,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1554,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1555,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1556,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1557,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1558,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1559,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1560,15/09/2025,Nissan Juke 1.6 CVT 2015,499 triệu,2015,Máy xăng,Hatchback,Xe cũ,57.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương
1561,09/09/2025,Ford Explorer 2.3L Ecoboost 2016,695 triệu,2016,Máy xăng,N/A,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
1562,09/09/2025,Mazda CX-5 2.0 Premium 2024,805 triệu,2024,Máy xăng,SUV,Xe cũ,8.900 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1563,09/09/2025,Kia Sorento 2022,945 triệu,2022,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1564,14/09/2025,Toyota Vios 1.3J MT 2015,195 triệu,2015,Máy xăng,Sedan,Xe cũ,95.000 km,Số sàn,Trong nước,Bảo Lộc - Lâm Đồng
1565,11/09/2025,Kia Morning AT 2018,290 triệu,2018,Máy xăng,Hatchback,Xe cũ,27.000 km,Số tự động,Trong nước,Gò Vấp - Tp.HCM
1566,14/09/2025,Suzuki Swift 1.4 AT 2017,330 triệu,2017,Máy xăng,Hatchback,Xe cũ,51.000 km,Số tự động,Trong nước,Sơn Trà - Đà Nẵng
1567,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1568,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1569,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1570,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1571,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1572,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1573,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1574,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1575,15/09/2025,Nissan Juke 1.6 CVT 2015,499 triệu,2015,Máy xăng,Hatchback,Xe cũ,57.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương
1576,09/09/2025,Ford Explorer 2.3L Ecoboost 2016,695 triệu,2016,Máy xăng,N/A,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
1577,09/09/2025,Mazda CX-5 2.0 Premium 2024,805 triệu,2024,Máy xăng,SUV,Xe cũ,8.900 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1578,09/09/2025,Kia Sorento 2022,945 triệu,2022,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1579,14/09/2025,Toyota Vios 1.3J MT 2015,195 triệu,2015,Máy xăng,Sedan,Xe cũ,95.000 km,Số sàn,Trong nước,Bảo Lộc - Lâm Đồng
1580,11/09/2025,Kia Morning AT 2018,290 triệu,2018,Máy xăng,Hatchback,Xe cũ,27.000 km,Số tự động,Trong nước,Gò Vấp - Tp.HCM
1581,14/09/2025,Suzuki Swift 1.4 AT 2017,330 triệu,2017,Máy xăng,Hatchback,Xe cũ,51.000 km,Số tự động,Trong nước,Sơn Trà - Đà Nẵng
1582,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1583,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1584,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1585,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1586,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1587,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1588,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1589,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1590,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1591,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1592,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1593,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1594,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1595,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1596,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1597,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1598,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1599,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1600,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1601,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1602,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1603,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1604,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1605,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1606,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1607,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1608,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1609,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1610,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1611,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1612,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1613,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1614,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1615,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1616,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1617,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1618,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1619,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1620,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1621,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1622,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1623,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1624,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1625,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1626,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1627,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1628,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1629,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1630,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1631,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1632,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1633,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1634,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1635,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1636,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1637,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1638,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1639,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1640,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1641,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1642,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1643,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1644,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1645,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1646,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1647,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1648,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1649,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1650,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1651,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1652,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1653,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1654,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1655,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1656,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1657,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1658,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1659,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1660,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1661,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1662,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1663,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1664,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1665,13/09/2025,MG ZS 1.5 2WD Luxury 2025,525 triệu,2025,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
1666,11/09/2025,VinFast VF8 2023,716 triệu,2023,Điện,SUV,Xe cũ,41.000 km,Số tự động,Trong nước,An Nhơn - Bình Định
1667,12/09/2025,VinFast Fadil Cao cấp 2020,269 triệu,2020,Máy xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
1668,13/09/2025,Ford Focus S 2.0AT 2011,190 triệu,2011,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
1669,12/09/2025,Mercedes-Benz E250 2018,998 triệu,2018,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1670,12/09/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1671,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1672,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1673,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1674,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1675,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1676,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1677,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1678,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1679,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1680,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1681,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1682,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1683,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1684,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
1685,12/09/2025,Toyota Corolla Cross 1.8 V 2021,688 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
1686,12/09/2025,Ford Everest Trend 2.0 AT 4x2 2019,750 triệu,2019,Máy xăng,SUV,Xe cũ,79.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
1687,12/09/2025,Nissan Almera CVT Cao cấp 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
1688,11/09/2025,Ford Everest Platinum 2.0L 4x4 AT 2020,900 triệu,2020,Máy dầu,SUV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Bảo Lộc - Lâm Đồng
1689,11/09/2025,Kia Morning Si 1.25 MT 2018,225 triệu,2018,Máy xăng,Hatchback,Xe cũ,80.000 km,Số sàn,Trong nước,Bảo Lộc - Lâm Đồng
1690,11/09/2025,Kia Sedona 3.3 Platinum G 2019,698 triệu,2019,Máy xăng,MPV,Xe cũ,60.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM
1691,11/09/2025,Subaru Outback 2.5i-T EyeSight 2022,1 tỉ 350 triệu,2022,Máy xăng,Crossover,Xe cũ,16.000 km,Số tự động,Nhập khẩu,Hà Nội
1692,11/09/2025,Kia Sedona 3.3 GATH 2015,485 triệu,2015,Máy xăng,MPV,Xe cũ,N/A,Số tự động,Trong nước,Hoàng Mai - Hà Nội
1693,11/09/2025,Chevrolet Spark LTZ 2013,175 triệu,2013,Máy xăng,Hatchback,Xe cũ,80.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
1694,11/09/2025,Toyota Vios 1.5E MT 2018,295 triệu,2018,Máy xăng,Sedan,Xe cũ,115.000 km,Số sàn,Trong nước,Bình Chánh - Tp.HCM
1695,12/09/2025,Mazda 2 Sport 1.5L Premium 2016,295 triệu,2016,Máy xăng,Hatchback,Xe cũ,130 km,Số tự động,Trong nước,Đông Sơn - Thanh Hóa
1696,12/09/2025,VinFast VF8 Eco 2024,865 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Đà Lạt - Lâm Đồng
1697,12/09/2025,Lexus ES 250 2022,2 tỉ 180 triệu,2022,Máy xăng,Sedan,Xe cũ,44.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
1698,12/09/2025,Kia K3 1.6AT 2022,500 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
1699,12/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,400 triệu,2021,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Hà Nội
